plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1	1.00	0.00	3.00	0.00	8.70	-0.27	2.66	8.70	-0.27	2.34	9.67	-0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	60.35	214.14	0.00	0.00	0.00	274.49	
1	1.00	0.00	3.00	0.00	8.70	-0.27	2.34	9.67	-0.27	2.66	9.67	-0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	15.09	198.46	213.55	
1	1.00	0.00	3.00	0.00	8.70	-0.27	2.34	8.70	0.00	2.18	9.67	-0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	189.78	0.00	0.00	0.00	189.78	
1	1.00	0.00	3.00	0.00	8.70	0.00	2.18	9.67	-0.27	2.34	9.67	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	225.22	225.22	
1	1.00	0.00	3.00	0.00	9.67	0.00	2.18	9.67	0.27	2.34	10.63	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	181.39	0.00	0.00	0.00	181.39	
1	1.00	0.00	3.00	0.00	9.67	0.27	2.34	10.63	0.00	2.18	10.63	0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	212.02	212.02	
1	1.00	0.00	3.00	0.00	9.67	0.27	2.34	9.67	0.27	2.66	10.63	0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	30.20	229.91	0.00	0.00	0.00	260.11	
1	1.00	0.00	3.00	0.00	9.67	0.27	2.66	10.63	0.27	2.34	10.63	0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	0.00	0.00	0.00	90.61	221.34	311.95	
1	1.00	0.00	3.00	0.00	9.67	0.27	2.66	9.67	0.00	2.82	10.63	0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	391.67	146.34	0.00	0.00	0.00	538.01	
1	1.00	0.00	3.00	0.00	9.67	0.00	2.82	10.63	0.27	2.66	10.63	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	346.48	143.01	489.49	
1	1.00	0.00	3.00	0.00	9.67	0.00	2.82	9.67	-0.27	2.66	10.63	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	331.42	159.80	0.00	0.00	0.00	491.22	
1	1.00	0.00	3.00	0.00	9.67	-0.27	2.66	10.63	0.00	2.82	10.63	-0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	286.22	168.28	454.50	
1	1.00	0.00	3.00	0.00	9.67	-0.27	2.66	9.67	-0.27	2.34	10.63	-0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	105.71	253.42	0.00	0.00	0.00	359.13	
